ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
4719,Bundled Captive Solar Power Project by Dalmia Cement,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,India,77864,Asia,,2021-12-25,2028-12-24
4715,Jinghai Leachate Anaerobic Biogas Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.H.,Under validation,China,33937,Asia,,2022-07-12,2032-07-11
4713,Enhancing rural livelihoods of farmers through carbon finance,GKF Agroforestry Pvt Ltd,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,24508,Asia,,2020-09-27,2050-09-26
4708,Tasar Forest Carbon Project,COGNISPHERE SOLUTIONS LIMITED,Agriculture Forestry and Other Land Use,ARR,ACM0003,Under development,India,43299,,,2022-05-19,2042-05-18
4696,Biaofa Juancheng Animal Manure Management Project,"Biaofa Ecological (Juancheng) Co., Ltd","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Under validation,China,331487,Asia,,,
4699,Baviaanskloof Carbon Project,Baviaanskloof Bewarea NPC,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,South Africa,1694,Africa,,2023-07-01,2053-06-30
4692,GUANGZHOU EASTERN SOLID RESOURCE RECYCLING CENTER FOOD WASTE TREATMENT PHASE II PROJECT,"Grandtop  Fushan  Environmental  Protection  Energy  Co., Ltd.",Waste handling and disposal,,ACM0022,Under validation,China,326576,,,2022-01-01,2028-12-31
4687,Tueré REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,745403,Latin America,,2022-08-31,2052-08-30
4679,Project Reignite: Turning Farm Waste to Climate Action,SRCNatura Sure Pvt. Ltd.,Waste handling and disposal,,VM0044,Under validation,India,110760,Asia,,2023-10-16,2030-10-15
4677,Jinshan Songlin Market Swine Manure Utilization Project,"Shanghai Songlin Industrial & Trade Co., Ltd.",Waste handling and disposal,,AMS-III.D.,Under validation,China,17340,Asia,,2022-01-15,2029-01-14
4675,HUOSHENGYUAN COMPOSTING PROJECT IN MIANYANG CITY,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Under validation,China,58686,Asia,,2022-01-01,2031-12-31
4667,TTCA ORGANIC COMPOSTING PROJECT IN ATTAPEU,"TTC Attapeu Sugar Cane Sole Co.,Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Under development,Lao,10823,Asia,,2021-11-16,2031-11-15
4671,TAUARI REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Brazil,63607,Latin America,,2020-09-03,2050-09-02
4659,One Mara Carbon Project,Maasai Mara Wildlife Conservancies Association,Agriculture Forestry and Other Land Use,ALM,VM0032,Under development,Kenya,551636,Africa,,2020-10-15,2050-10-14
4660,Legacy Forest Climate Initiative,PotlatchDeltic Corporation,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,United States,163000,North America,,2021-01-01,2050-12-31
4656,Guangdong Foshan Improved Forest Management Project,Foshan Gaoming District Forestry Research Institute,Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,China,1586,,,2021-01-01,2040-12-31
4657,Energy Efficient Stoves Program (EESP) - CER Conversion,Converted from other GHG program,Energy demand,,AMS-II.G.,Units Transferred from Approved GHG Program,Ethiopia,139588,Africa,,,
4654,Hengyang Peike Animal Manure Composting Project,"Hengyang Peike Ecological Technology Co., Ltd.",Waste handling and disposal,,AMS-III.F.,Under validation,China,59284,Asia,,2022-01-03,2029-01-02
4652,The New Zealand Transitional Afforestation Project,New Zealand Forestry Removals Limited,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Under development,New Zealand,10000,Oceania,,2020-08-31,2080-08-30
4651,The New Zealand Indigenous Forest Regeneration Project,New Zealand Forestry Removals Limited,Agriculture Forestry and Other Land Use,IFM,VM0012,Under validation,New Zealand,10000,Oceania,,2020-09-25,2080-09-24
